Date,Demand_MWh,Day_of_Week,Is_Weekend,Is_Holiday,Avg_Temp,Rainfall,Lag_1,Lag_7,Lag_30,Rolling_7
2018-01-31,694354.2793483095,2,0,0,26.983088235294115,6.958407079646018,692453.5585360057,682595.1034048299,688441.9602906026,653687.5955884174
2018-02-01,694005.8855551896,3,0,0,26.93445945945946,7.900980392156862,694354.2793483095,688284.729297617,691083.480352296,654504.9036252134
2018-02-02,677641.1330062866,4,0,0,26.49178082191781,10.391200000000001,694005.8855551896,686596.43060018,687799.2253928898,653225.5753975144
2018-02-03,541614.7692502794,5,1,0,26.592361111111114,11.8504,677641.1330062866,558868.5449901681,687842.1950524107,650760.750291816
2018-02-04,553784.8847970435,6,1,0,26.90758620689655,9.548818897637796,541614.7692502794,558671.3500436977,678730.0492338823,650062.6838280082
2018-02-05,674631.125655319,0,0,0,26.40066225165563,12.591338582677164,553784.8847970435,696584.2763029431,536339.8757096548,646926.5194497762
2018-02-06,668449.3119543951,1,0,0,26.229530201342282,15.01484375,674631.125655319,692453.5585360057,538093.1783634376,643497.341366689
2018-02-07,670180.2071353389,2,0,0,26.313103448275864,14.026399999999999,668449.3119543951,694354.2793483095,685441.348955857,640043.9024791217
2018-02-08,675694.1530506741,3,0,0,26.436486486486487,13.946491228070176,670180.2071353389,694005.8855551896,674025.5835798194,637427.9406927623
2018-02-09,673332.9329530123,4,0,0,26.370945945945948,10.631147540983607,675694.1530506741,677641.1330062866,668790.7582352306,636812.4835422946
2018-02-10,537942.2360712679,5,1,0,26.458156028368794,12.91293103448276,673332.9329530123,541614.7692502794,656541.9595963456,636287.8359452931
2018-02-11,533609.5714038496,6,1,0,26.365972222222222,11.361600000000001,537942.2360712679,553784.8847970435,661519.1205137745,633405.6483176938
2018-02-12,676604.5463258027,0,0,0,26.45205479452055,15.385593220338983,533609.5714038496,674631.125655319,521681.79530380626,633687.5655563343
2018-02-13,682802.6883912855,1,0,0,26.653521126760566,9.513513513513514,676604.5463258027,668449.3119543951,511134.10211070656,635738.0479044616
2018-02-14,681226.6294644814,2,0,0,26.6,10.179338842975207,682802.6883912855,670180.2071353389,661920.5230192492,637316.1082371961
2018-02-15,667230.2369921032,3,0,0,26.197142857142858,15.639823008849557,681226.6294644814,675694.1530506741,667277.8850086421,636106.977371686
2018-02-16,684502.2825987845,4,0,0,26.7013698630137,19.62713178294574,667230.2369921032,673332.9329530123,673683.6974030561,637702.5987496536
2018-02-17,548023.1801722986,5,1,0,26.757638888888888,9.958823529411763,684502.2825987845,537942.2360712679,665690.2857854321,639142.7336212293
2018-02-18,551875.544433879,6,1,0,26.862937062937064,6.795121951219512,548023.1801722986,533609.5714038496,662827.4092376416,641752.158339805
2018-02-19,678528.3631751481,0,0,0,26.53146853146853,5.88974358974359,551875.544433879,676604.5463258027,524606.9517724406,642026.9893182829
2018-02-20,683910.1697849697,1,0,0,26.66099290780142,11.214285714285714,678528.3631751481,682802.6883912855,534695.307914111,642185.2009459521
2018-02-21,687241.5921539217,2,0,0,26.749659863945578,14.174257425742573,683910.1697849697,681226.6294644814,677730.4535204376,643044.481330158
2018-02-22,681394.2305394649,3,0,0,26.62027972027972,10.708943089430894,687241.5921539217,667230.2369921032,684616.8705249493,645067.908979781
2018-02-23,672032.358836744,4,0,0,26.306164383561644,15.011023622047245,681394.2305394649,684502.2825987845,682595.1034048299,643286.4912994895
2018-02-24,536335.2301171047,5,1,0,26.416666666666668,11.293965517241379,672032.358836744,548023.1801722986,688284.729297617,641616.7841487473
2018-02-25,538685.118076622,6,1,0,26.495172413793103,12.801626016260162,536335.2301171047,551875.544433879,686596.43060018,639732.4375262822
2018-02-26,667007.9834217202,0,0,0,26.205555555555556,10.755118110236221,538685.118076622,678528.3631751481,558868.5449901681,638086.6689900781
2018-02-27,683979.926883852,1,0,0,26.677083333333332,9.67153846153846,667007.9834217202,683910.1697849697,558671.3500436977,638096.6342899185
2018-02-28,682904.2579695656,2,0,0,26.62857142857143,9.857264957264956,683979.926883852,687241.5921539217,696584.2763029431,637477.0151207248
2018-03-01,679958.7608963075,3,0,0,26.54822695035461,10.083064516129031,682904.2579695656,681394.2305394649,692453.5585360057,637271.9480288451
2018-03-02,683322.3878715718,4,0,0,26.642567567567568,9.256198347107437,679958.7608963075,672032.358836744,694354.2793483095,638884.8093195349
2018-03-03,545873.9423731837,5,1,0,26.716216216216218,11.910483870967743,683322.3878715718,536335.2301171047,694005.8855551896,640247.4824989747
2018-03-04,562594.4344886137,6,1,0,27.19,8.603478260869565,545873.9423731837,538685.118076622,677641.1330062866,643663.0991292594
2018-03-05,680091.6673689592,0,0,0,26.584722222222222,10.75929203539823,562594.4344886137,667007.9834217202,541614.7692502794,645532.1968360076
2018-03-06,690490.59663524,1,0,0,26.847619047619048,8.979508196721312,680091.6673689592,683979.926883852,553784.8847970435,646462.2925147774
2018-03-07,678124.9828995353,2,0,0,26.48150684931507,13.396694214876034,690490.59663524,682904.2579695656,674631.125655319,645779.5389333444
2018-03-08,681419.9797188019,3,0,0,26.603472222222223,11.9208,678124.9828995353,679958.7608963075,668449.3119543951,645988.2844794152
2018-03-09,684204.2697416969,4,0,0,26.695138888888888,12.45859375,681419.9797188019,683322.3878715718,670180.2071353389,646114.2676037187
2018-03-10,546694.2693439821,5,1,0,26.71875,14.669230769230769,684204.2697416969,545873.9423731837,675694.1530506741,646231.4571709755
2018-03-11,547800.673534143,6,1,0,26.75608108108108,16.449137931034482,546694.2693439821,562594.4344886137,673332.9329530123,644118.0627489083
2018-03-12,680530.7998358948,0,0,0,26.56527777777778,12.994262295081967,547800.673534143,680091.6673689592,537942.2360712679,644180.7959584706
2018-03-13,674002.4329189674,1,0,0,26.35771812080537,15.315454545454546,680530.7998358948,690490.59663524,533609.5714038496,641825.3439990031
2018-03-14,686673.0907574085,2,0,0,26.76081081081081,11.159541984732826,674002.4329189674,678124.9828995353,676604.5463258027,643046.5022644134
2018-03-15,696688.5028141369,3,0,0,27.015068493150682,9.376,686673.0907574085,681419.9797188019,682802.6883912855,645227.7198494615
2018-03-16,692853.0946223162,4,0,0,26.941333333333333,6.0895652173913035,696688.5028141369,684204.2697416969,681226.6294644814,646463.2662609784
2018-03-17,549492.11663989,5,1,0,26.815646258503403,9.941818181818181,692853.0946223162,546694.2693439821,667230.2369921032,646862.9587318224
2018-03-18,550556.8226696514,6,1,0,26.83076923076923,11.757894736842106,549492.11663989,547800.673534143,684502.2825987845,647256.6943226093
2018-03-19,699756.7985126078,0,0,0,27.134013605442174,8.798245614035087,550556.8226696514,680530.7998358948,548023.1801722986,650003.2655621397
2018-03-20,692823.586794808,1,0,0,26.92638888888889,8.64201680672269,699756.7985126078,674002.4329189674,551875.544433879,652692.001830117
2018-03-21,683444.0464350383,2,0,0,26.672727272727272,12.810833333333333,692823.586794808,686673.0907574085,678528.3631751481,652230.7097840641
2018-03-22,678801.7047144622,3,0,0,26.530281690140846,11.518421052631577,683444.0464350383,696688.5028141369,683910.1697849697,649675.452912682
2018-03-23,695289.6829237359,4,0,0,27.000694444444445,10.873170731707317,678801.7047144622,692853.0946223162,687241.5921539217,650023.536955742
2018-03-24,545039.0402006975,5,1,0,26.664084507042254,8.41980198019802,695289.6829237359,549492.11663989,681394.2305394649,649387.3831787144
2018-03-25,541921.5584741777,6,1,0,26.60142857142857,10.815447154471544,545039.0402006975,550556.8226696514,672032.358836744,648153.7740079325
2018-03-26,679320.4742059262,0,0,0,26.557042253521125,10.456910569105691,541921.5584741777,699756.7985126078,536335.2301171047,645234.299106978
2018-03-27,678392.7260698609,1,0,0,26.509420289855075,10.997435897435897,679320.4742059262,692823.586794808,538685.118076622,643172.7475748427
2018-03-28,695516.2089085786,2,0,0,27.00642857142857,10.602564102564102,678392.7260698609,683444.0464350383,667007.9834217202,644897.3422139197
2018-03-29,693905.7108762156,3,0,0,26.947552447552447,9.686290322580644,695516.2089085786,678801.7047144622,683979.926883852,647055.0573798846
2018-03-30,690674.1117531013,4,0,0,26.86521739130435,10.270689655172415,693905.7108762156,695289.6829237359,682904.2579695656,646395.690069794
2018-03-31,553535.1355225516,5,1,0,26.93380281690141,9.24396551724138,690674.1117531013,545039.0402006975,679958.7608963075,647609.4179729159
2018-04-01,557780.5833662772,6,1,0,27.04857142857143,7.38135593220339,553535.1355225516,541921.5584741777,683322.3878715718,649874.9929575017
2018-04-02,691964.116412522,0,0,0,26.88,11.64453125,557780.5833662772,679320.4742059262,545873.9423731837,651681.2275584439
2018-04-03,686148.485595342,1,0,0,26.751388888888886,11.077165354330708,691964.116412522,678392.7260698609,562594.4344886137,652789.1932049412
2018-04-04,693016.2604795789,2,0,0,26.94,13.453658536585365,686148.485595342,695516.2089085786,680091.6673689592,652432.0577150842
2018-04-05,704244.2276838394,3,0,0,27.254225352112677,4.268103448275863,693016.2604795789,693905.7108762156,690490.59663524,653908.9886876018
2018-04-06,696697.123288525,4,0,0,27.044594594594592,9.397457627118644,704244.2276838394,690674.1117531013,678124.9828995353,654769.418906948
2018-04-07,552697.6626756125,5,1,0,26.896478873239438,7.54054054054054,696697.123288525,553535.1355225516,681419.9797188019,654649.7799288138
2018-04-08,551354.4674042598,6,1,0,26.86164383561644,7.2888,552697.6626756125,557780.5833662772,684204.2697416969,653731.7633628113
2018-04-09,697011.0068058065,0,0,0,27.032413793103448,8.278151260504202,551354.4674042598,691964.116412522,546694.2693439821,654452.7477047092
2018-04-10,706222.0356696588,1,0,0,27.29655172413793,4.97542372881356,697011.0068058065,686148.485595342,547800.673534143,657320.3977153258
2018-04-11,710807.7451148684,2,0,0,27.448251748251746,5.4692307692307685,706222.0356696588,693016.2604795789,680530.7998358948,659862.0383775102
2018-04-12,716684.5588211844,3,0,0,27.616216216216216,6.070093457943925,710807.7451148684,704244.2276838394,674002.4329189674,661639.2285399878
2018-04-13,716702.3029747484,4,0,0,27.625,4.721100917431193,716684.5588211844,696697.123288525,686673.0907574085,664497.1113523056
2018-04-14,575576.6807484027,5,1,0,27.56938775510204,5.934821428571429,716702.3029747484,552697.6626756125,696688.5028141369,667765.5425055613
